id,release_date,original_title,title
727602,2005-01-01,力王中王,Riki-Oh 2
128789,1989-12-15,Bedroom Eyes II,Bedroom Eyes II
266812,1976-01-01,Spy Story,Spy Story
388923,1995-03-21,La loca risa en vacaciones 7,La Risa En Vacaciones 7
484616,1976-10-01,Wanted: The Sundance Woman,Wanted: The Sundance Woman
163447,1987-01-01,Criminally Insane 2,Criminally Insane 2
32172,2009-04-01,2 ഹരിഹർനഗർ,2 Harihar Nagar
59253,2004-12-16,Floris,Floris
106534,1983-11-12,Perkawinan Nyi Blorong,The Snake Queen's Wedding
301263,1984-12-31,Masacre en Río Grande,Massacre in Rio Grande
229097,1989-11-09,Perry Mason: The Case of the All-Star Assassin,Perry Mason: The Case of the All-Star Assassin
123097,1992-09-11,Pets or Meat: The Return to Flint,Pets or Meat: The Return to Flint
263220,1977-03-13,Eleanor and Franklin: The White House Years,Eleanor and Franklin: The White House Years
170075,2008-02-01,Zygon: When Being You Just Isn't Enough,Zygon: When Being You Just Isn't Enough
134831,1989-10-06,プロジェクトA子 - 完結篇,Project A-Ko 4: Final
476339,2008-12-09,Daydream Obsession 3: Legacy,Daydream Obsession 3: Legacy
126488,1969-10-31,The Wonderful Land of Oz,The Wonderful Land of Oz
259907,1987-03-19,超獣機神ダンクーガ GOD BLESS DANCOUGA,God Bless Dancougar
251439,1988-11-01,The Understudy: Graveyard Shift II,The Understudy: Graveyard Shift II
182376,1996-01-14,The Rockford Files: If the Frame Fits...,The Rockford Files: If the Frame Fits...
147692,1981-01-12,"Pruncul, petrolul şi ardelenii","The Oil, the Baby and the Transylvanians"
149957,1954-06-01,Jungle Man-Eaters,Jungle Man-Eaters
1016921,1978-12-13,"Lovey: A Circle of Children, Part II","Lovey: A Circle of Children, Part II"
27878,1995-01-01,Zombie Bloodbath 2: Rage of the Undead,Zombie Bloodbath 2: Rage of the Undead
258599,1977-05-16,Alexander: The Other Side of Dawn,Alexander: The Other Side of Dawn
319217,1999-12-25,La familia... 30 años después,La familia... 30 años después
319565,2005-12-25,Shake Rattle & Roll 2k5,Shake Rattle & Roll 2k5
149107,1990-03-01,Hollywood Hot Tubs 2: Educating Crystal,Hollywood Hot Tubs 2: Educating Crystal
252966,1975-01-28,The Daughters of Joshua Cabe Return,The Daughters of Joshua Cabe Return
101271,1947-08-15,Vuelven los García,Vuelven los García
52559,2007-01-31,"Blanche Neige, la suite",Snow White: The Sequel
42754,2007-01-01,Three Can Play That Game,Three Can Play That Game
148227,2003-03-07,สตรีเหล็ก 2,The Iron Ladies 2
90068,1987-09-01,White Phantom,White Phantom
134629,1993-05-14,¡Semos peligrosos! (Uséase Makinavaja 2),¡Semos peligrosos! (Uséase Makinavaja 2)
151055,1995-05-20,Spenser: A Savage Place,Spenser: A Savage Place
146138,1998-02-20,Feeders 2: Slay Bells,Feeders 2: Slay Bells
151408,1968-05-01,眠狂四郎人肌蜘蛛,Sleepy Eyes of Death 11: In the Spider's Lair
