id,release_date,original_title,title
63088,1967-10-20,The Eye Creatures,The Eye Creatures
102632,2012-06-01,Rowdy Rathore,Rowdy Rathore
467117,2018-05-17,பாஸ்கர் ஒரு ராஸ்கல்,Bhaskar Oru Rascal
45437,1991-08-17,黑貓,Black Cat
531503,2019-07-12,Point Blank,Point Blank
76812,2017-05-26,Black Butterfly,Black Butterfly
84858,2012-01-25,अग्निपथ,Agneepath
20971,2006-01-12,Zinda,Zinda
39287,1966-04-21,Stagecoach,Stagecoach
16345,2009-02-13,बिल्लू,Billu
13440,2002-10-25,The Truth About Charlie,The Truth About Charlie
46525,1956-09-07,Back from Eternity,Back from Eternity
281444,1988-04-10,Red River,Red River
10389,2002-05-09,見鬼,The Eye
611468,2019-06-29,Kidnapping Stella,Kidnapping Stella
25386,1959-03-13,The 39 Steps,The 39 Steps
578789,2019-02-14,蓝色生死恋,Autumn Fairy Tale
31674,1989-02-10,Cousins,Cousins
994751,2023-04-07,Aaahh Belinda,Oh Belinda
64255,2001-05-08,Carmen: A Hip Hopera,Carmen: A Hip Hopera
454417,2017-09-25,Unhinged,Unhinged
54544,2001-02-28,Un crime au Paradis,A Crime in Paradise
9941,1986-01-31,Down and Out in Beverly Hills,Down and Out in Beverly Hills
46500,1984-09-07,The Warrior and the Sorceress,The Warrior and the Sorceress
55658,1986-07-23,एक रुका हुआ फैसला,Ek Ruka Hua Faisla
20646,2002-06-22,新・仁義の墓場,Graveyard of Honor
608085,2019-12-13,ぼくらの7日間戦争,Seven Days War
330298,2015-08-05,La Dame dans l'auto avec des lunettes et un fusil,The Lady in the Car with Glasses and a Gun
505015,2018-03-02,Sin rodeos,Empowered
86962,1989-11-04,The Phantom of the Opera,The Phantom of the Opera
541560,2018-05-05,The Wind,The Wind
575659,2020-06-25,Berlin Alexanderplatz,Berlin Alexanderplatz
334394,2015-12-31,Baskın: Karabasan,Baskin
637250,2023-02-02,Savage Vengeance,Savage Vengeance
279984,1986-01-05,The Defiant Ones,The Defiant Ones
13637,2007-09-15,Sukiyaki Western Django,Sukiyaki Western Django
369608,1994-11-10,人魚傳說,Mermaid Got Married
101669,2010-09-23,Mother's Day,Mother's Day
