id,release_date,original_title,title,collection,collection_id,Wikipedia movie ID
252903,1973-10-03,Letters from Three Lovers,Letters from Three Lovers,The Letters Collection,930026,33537258.0
40649,1992-03-12,Demonic Toys,Demonic Toys,Demonic Toys Collection,264434,11450530.0
84152,1993-08-13,Dollman vs. Demonic Toys,Dollman vs. Demonic Toys,Demonic Toys Collection,264434,13048288.0
56242,2010-01-26,Demonic Toys: Personal Demons,Demonic Toys: Personal Demons,Demonic Toys Collection,264434,11450530.0
26962,2004-12-18,Puppet Master vs Demonic Toys,Puppet Master vs Demonic Toys,Demonic Toys Collection,264434,38885803.0
1084176,2023-08-25,Demonic Toys: Jack-Attack,Demonic Toys: Jack-Attack,Demonic Toys Collection,264434,11450530.0
3160,1965-08-08,フランケンシュタイン対地底怪獣,Frankenstein Conquers the World,Frankenstein (Toho) Collection,491768,1853749.0
3146,1966-07-31,フランケンシュタインの怪獣 サンダ対ガイラ,The War of the Gargantuas,Frankenstein (Toho) Collection,491768,2073543.0
62472,1959-12-26,宇宙大戦争,Battle in Outer Space,The Mysterians Collection,491769,5083422.0
43226,1957-12-28,地球防衛軍,The Mysterians,The Mysterians Collection,491769,3566967.0
38268,1977-12-17,惑星大戦争,The War in Space,The Mysterians Collection,491769,6255163.0
28912,1966-07-15,I criminali della galassia,"The Wild, Wild Planet",Gamma One Collection,413946,14276607.0
79364,1966-07-21,I diafanoidi vengono da Marte,War of the Planets,Gamma One Collection,413946,43718681.0
28539,1966-07-29,Il pianeta errante,War Between the Planets,Gamma One Collection,413946,43718681.0
28538,1967-01-18,La morte viene dal pianeta Aytin,Snow Devils,Gamma One Collection,413946,54475333.0
17994,1986-12-31,Witchboard,Witchboard,Witchboard Collection,168186,73430842.0
40251,1993-07-28,Witchboard 2: The Devil's Doorway,Witchboard 2: The Devil's Doorway,Witchboard Collection,168186,4712667.0
40252,1997-05-20,Witchboard III: The Possession,Witchboard III: The Possession,Witchboard Collection,168186,43276220.0
60175,1980-04-30,Les sous-doués,The Under-Gifted,The Under-Gifted Collection,215293,41909518.0
51925,1982-03-10,Les Sous-Doués En Vacances,The Under-Gifted In Vacation,The Under-Gifted Collection,215293,77972459.0
9017,2008-03-11,Outpost,Outpost,Outpost Collection,108804,60264972.0
100183,2012-04-25,Outpost: Black Sun,Outpost: Black Sun,Outpost Collection,108804,44341922.0
164377,2013-06-26,Outpost: Rise of the Spetsnaz,Outpost: Rise of the Spetsnaz,Outpost Collection,108804,44920794.0
476339,2008-12-09,Daydream Obsession 3: Legacy,Daydream Obsession 3: Legacy,Daydream Obsession Collection,579847,74537.0
476333,2004-11-23,Daydream Obsession 2: Infidelities,Daydream Obsession 2: Infidelities,Daydream Obsession Collection,579847,3389561.0
201371,2003-11-23,Daydream Obsession,Daydream Obsession,Daydream Obsession Collection,579847,648779.0
105,1985-07-03,Back to the Future,Back to the Future,Back to the Future Collection,264,42993.0
165,1989-11-22,Back to the Future Part II,Back to the Future Part II,Back to the Future Collection,264,213270.0
196,1990-05-25,Back to the Future Part III,Back to the Future Part III,Back to the Future Collection,264,213275.0
15602,1995-12-22,Grumpier Old Men,Grumpier Old Men,Grumpy Old Men Collection,119050,1934018.0
11520,1993-12-25,Grumpy Old Men,Grumpy Old Men,Grumpy Old Men Collection,119050,1934018.0
212914,1976-09-27,Dawn: Portrait of a Teenage Runaway,Dawn: Portrait of a Teenage Runaway,Teenage Runaway Collection,930059,11437850.0
258599,1977-05-16,Alexander: The Other Side of Dawn,Alexander: The Other Side of Dawn,Teenage Runaway Collection,930059,2184621.0
27813,1982-04-02,Basket Case,Basket Case,Basket Case Trilogy,104716,2283532.0
27815,1990-03-02,Basket Case 2,Basket Case 2,Basket Case Trilogy,104716,4055526.0
27816,1992-02-21,Basket Case 3: The Progeny,Basket Case 3: The Progeny,Basket Case Trilogy,104716,4498928.0
392663,1980-02-16,The Trouble with Miss Switch,The Trouble with Miss Switch,Miss Switch Collection,930063,2976814.0
392603,1982-01-16,Miss Switch to the Rescue,Miss Switch to the Rescue,Miss Switch Collection,930063,47364341.0
13683,2002-06-24,Tarzan & Jane,Tarzan & Jane,Tarzan (Animation) Collection,106768,4118310.0
15657,2005-06-13,Tarzan II,Tarzan II,Tarzan (Animation) Collection,106768,4118336.0
37135,1999-06-18,Tarzan,Tarzan,Tarzan (Animation) Collection,106768,13680600.0
9529,1992-10-16,Candyman,Candyman,Candyman Collection,98580,1256990.0
10824,1995-03-17,Candyman: Farewell to the Flesh,Candyman: Farewell to the Flesh,Candyman Collection,98580,5106720.0
12485,1999-07-09,Candyman: Day of the Dead,Candyman: Day of the Dead,Candyman Collection,98580,8824700.0
565028,2021-08-25,Candyman,Candyman,Candyman Collection,98580,61087951.0
17804,1948-12-17,The Paleface,The Paleface,The Paleface Collection,456980,2245922.0
30801,1952-07-14,Son of Paleface,Son of Paleface,The Paleface Collection,456980,2236141.0
23479,1976-04-06,The Bad News Bears,The Bad News Bears,The Bad News Bears Collection,215326,464128.0
19050,1977-07-08,The Bad News Bears in Breaking Training,The Bad News Bears in Breaking Training,The Bad News Bears Collection,215326,1632587.0
66946,1978-06-30,The Bad News Bears Go to Japan,The Bad News Bears Go to Japan,The Bad News Bears Collection,215326,3096374.0
617,1998-03-20,Wild Things,Wild Things,Wild Things Collection,33059,423372.0
10367,2004-02-19,Wild Things 2,Wild Things 2,Wild Things Collection,33059,423372.0
17124,2005-02-19,Wild Things: Diamonds in the Rough,Wild Things: Diamonds in the Rough,Wild Things Collection,33059,4990409.0
37708,2010-06-01,Wild Things: Foursome,Wild Things: Foursome,Wild Things Collection,33059,26967701.0
27414,1984-11-09,"Silent Night, Deadly Night","Silent Night, Deadly Night","Silent Night, Deadly Night Collection",256296,1954311.0
50719,1987-04-10,"Silent Night, Deadly Night Part 2","Silent Night, Deadly Night Part 2","Silent Night, Deadly Night Collection",256296,2680994.0
42709,1989-11-09,"Silent Night, Deadly Night 3: Better Watch Out!","Silent Night, Deadly Night 3: Better Watch Out!","Silent Night, Deadly Night Collection",256296,2680994.0
59762,1990-11-21,Silent Night Deadly Night 4: Initiation,Silent Night Deadly Night 4: Initiation,"Silent Night, Deadly Night Collection",256296,2892393.0
70984,1991-11-06,"Silent Night, Deadly Night 5: The Toy Maker","Silent Night, Deadly Night 5: The Toy Maker","Silent Night, Deadly Night Collection",256296,5906516.0
28153,1974-04-26,It's Alive,It's Alive,It's Alive Collection,256297,2990847.0
28155,1978-05-10,It Lives Again,It Lives Again,It's Alive Collection,256297,46477394.0
49684,1987-05-27,It's Alive III: Island of the Alive,It's Alive III: Island of the Alive,It's Alive Collection,256297,46491872.0
50698,2011-09-09,Grave Encounters,Grave Encounters,Grave Encounters Collection,135466,37201724.0
134366,2012-10-12,Grave Encounters 2,Grave Encounters 2,Grave Encounters Collection,135466,37201724.0
6471,1979-12-14,The Jerk,The Jerk,The Jerk Collection,983340,179044.0
87243,1984-01-06,"The Jerk, Too","The Jerk, Too",The Jerk Collection,983340,51312095.0
161,2001-12-07,Ocean's Eleven,Ocean's Eleven,Ocean's Collection,304,2251266.0
163,2004-12-09,Ocean's Twelve,Ocean's Twelve,Ocean's Collection,304,1046470.0
298,2007-06-05,Ocean's Thirteen,Ocean's Thirteen,Ocean's Collection,304,3723947.0
40983,1972-06-21,Beware! The Blob,Beware! The Blob,The Blob Collection,422193,5260111.0
8851,1958-09-10,The Blob,The Blob,The Blob Collection,422193,761788.0
10144,1989-11-17,The Little Mermaid,The Little Mermaid,The Little Mermaid Collection,33085,61454132.0
13676,2008-08-25,The Little Mermaid: Ariel's Beginning,The Little Mermaid: Ariel's Beginning,The Little Mermaid Collection,33085,15348996.0
10898,2000-01-23,The Little Mermaid II: Return to the Sea,The Little Mermaid II: Return to the Sea,The Little Mermaid Collection,33085,448814.0
11137,2004-03-28,The Prince & Me,The Prince & Me,The Prince & Me Collection,86334,1096949.0
15590,2006-02-21,The Prince & Me 2: The Royal Wedding,The Prince & Me 2: The Royal Wedding,The Prince & Me Collection,86334,8808797.0
20036,2008-10-28,The Prince & Me: A Royal Honeymoon,The Prince & Me: A Royal Honeymoon,The Prince & Me Collection,86334,22188807.0
36515,2010-03-23,The Prince & Me 4: The Elephant Adventure,The Prince & Me 4: The Elephant Adventure,The Prince & Me Collection,86334,26762105.0
578,1975-06-20,Jaws,Jaws,Jaws Collection,2366,74830.0
579,1978-06-16,Jaws 2,Jaws 2,Jaws Collection,2366,352795.0
