,Wikipedia movie ID,Freebase movie ID,Movie name,Movie release date,Movie box office revenue,Movie runtime,Movie languages,Movie countries,Movie genres,id,collection,collection_id
52421,2933385,/m/08dl83,Freddy's Dead: The Final Nightmare,1991-09-13,34872033.0,90.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01q03"": ""Cult"", ""/m/03npn"": ""Horror"", ""/m/01585b"": ""Slasher"", ""/m/02b5_l"": ""Teen"", ""/m/0fdjb"": ""Supernatural""}",11284,A Nightmare on Elm Street Collection,8581
52567,1122030,/m/047ytl,Midnight Run,1988-07-11,81600000.0,126.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/01jfsb"": ""Thriller"", ""/m/0556j8"": ""Buddy film"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/01z4y"": ""Comedy"", ""/m/02kdv5l"": ""Action"", ""/m/01xpvb7"": ""Airplanes and airports""}",9013,Midnight Run Collection,633215
53041,407628,/m/024mxd,Superman IV: The Quest For Peace,1987-07-24,15681020.0,90.0,"{""/m/064_8sq"": ""French Language"", ""/m/02bjrlw"": ""Italian Language"", ""/m/02h40lc"": ""English Language"", ""/m/06b_j"": ""Russian Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/07ssc"": ""United Kingdom""}","{""/m/01jfsb"": ""Thriller"", ""/m/06n90"": ""Science Fiction"", ""/m/04pbhw"": ""Superhero movie"", ""/m/0btmb"": ""Superhero"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/01hmnh"": ""Fantasy"", ""/m/02kdv5l"": ""Action""}",11411,Superman Collection,8537
53171,20344428,/m/0cs12vb,Tomie: Beginning,2005,,74.0,"{""/m/03_9r"": ""Japanese Language""}","{""/m/03_3d"": ""Japan""}","{""/m/0gw5n2f"": ""Japanese Movies"", ""/m/03npn"": ""Horror"", ""/m/03q4nz"": ""World cinema""}",52405,Tomie Collection,139394
53252,4588632,/m/0cbc3l,Pajama Party,1964-11-11,,82.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06n90"": ""Science Fiction"", ""/m/01z4y"": ""Comedy""}",53617,Beach Party Collection,338327
53521,17607501,/m/0464ww4,The Lone Wolf Spy Hunt,1939,,71.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/03k9fj"": ""Adventure""}",149793,Lone Wolf Collection,395433
53552,213275,/m/01f7kl,Back to the Future Part III,1990-05-25,244527583.0,118.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06n90"": ""Science Fiction"", ""/m/03k9fj"": ""Adventure"", ""/m/0hfjk"": ""Western"", ""/m/01z4y"": ""Comedy"", ""/m/0hqxf"": ""Family Film"", ""/m/0hj3n7m"": ""Hybrid Western""}",196,Back to the Future Collection,264
53664,4894893,/m/0cs__t,Carnosaur,1993-05-14,1753979.0,82.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/06n90"": ""Science Fiction"", ""/m/0qdzd"": ""B-movie"", ""/m/0cq22z7"": ""Sci-Fi Horror"", ""/m/0hj3m_q"": ""Creature Film"", ""/m/03npn"": ""Horror""}",39283,Carnosaur Collection,256484
53811,12256912,/m/02vxwrd,Wishmaster 4: The Prophecy Fulfilled,2002-10-22,,92.0,"{""/m/02h40lc"": ""English Language""}",{},"{""/m/0g092b"": ""Monster movie"", ""/m/03npn"": ""Horror"", ""/m/0fdjb"": ""Supernatural""}",38157,Wishmaster Collection,135489
54349,2344137,/m/0758rp,Armitage III,1994,,123.0,"{""/m/03_9r"": ""Japanese Language""}","{""/m/03_3d"": ""Japan""}","{""/m/06n90"": ""Science Fiction"", ""/m/0jxy"": ""Anime"", ""/m/0gw5n2f"": ""Japanese Movies""}",33322,Armitage III Collection,182371
54349,2344137,/m/0758rp,Armitage III,1994,,123.0,"{""/m/03_9r"": ""Japanese Language""}","{""/m/03_3d"": ""Japan""}","{""/m/06n90"": ""Science Fiction"", ""/m/0jxy"": ""Anime"", ""/m/0gw5n2f"": ""Japanese Movies""}",21769,Armitage III Collection,182371
54656,3303044,/m/094dnx,Son of Dracula,1943-11-05,,147.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03npn"": ""Horror"", ""/m/01g6gs"": ""Black-and-white""}",32023,Dracula (Universal) Collection,221539
54891,2353104,/m/075ztz,"The Karate Kid, Part III",1989-06-30,38956288.0,112.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/03_3d"": ""Japan""}","{""/m/0gw5n2f"": ""Japanese Movies"", ""/m/02h8pkk"": ""Family Drama"", ""/m/01z02hx"": ""Sports"", ""/m/04t2t"": ""Martial Arts Film"", ""/m/01j1n2"": ""Coming of age"", ""/m/07s9rl0"": ""Drama"", ""/m/0hqxf"": ""Family Film"", ""/m/02kdv5l"": ""Action""}",10495,The Karate Kid Collection,8580
54901,3945952,/m/0b8110,Pumpkinhead II: Blood Wings,1994-10-19,,88.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0g092b"": ""Monster movie"", ""/m/03npn"": ""Horror"", ""/m/0fdjb"": ""Supernatural""}",35977,Pumpkinhead Collection,123256
55531,1179278,/m/04dx7g,The Dead Pool,1988-07-13,37903295.0,91.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/0lsxr"": ""Crime Fiction"", ""/m/0cq22f9"": ""Action Thrillers"", ""/m/02kdv5l"": ""Action"", ""/m/03btsm8"": ""Action/Adventure""}",10651,Dirty Harry Collection,10456
55873,53964,/m/0f3m1,Star Wars Episode V: The Empire Strikes Back,1980-05-21,538375067.0,124.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06n90"": ""Science Fiction"", ""/m/03k9fj"": ""Adventure"", ""/m/070yc"": ""Space opera"", ""/m/01hmnh"": ""Fantasy"", ""/m/0hqxf"": ""Family Film"", ""/m/02kdv5l"": ""Action""}",1891,Star Wars Collection,10
56122,4118336,/m/0bk2ql,Tarzan II,2005,,74.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03k9fj"": ""Adventure"", ""/m/0hj3myq"": ""Children's/Family"", ""/m/0hj3n96"": ""Jungle Film"", ""/m/0hcr"": ""Animation"", ""/m/0hj3mtv"": ""Animated Musical"", ""/m/0hqxf"": ""Family Film""}",15657,Tarzan (Animation) Collection,106768
56168,1046470,/m/0418wg,Ocean's Twelve,2004-12-08,362744280.0,115.0,"{""/m/064_8sq"": ""French Language"", ""/m/02bv9"": ""Dutch Language"", ""/m/02bjrlw"": ""Italian Language"", ""/m/0653m"": ""Standard Mandarin"", ""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/04btyz"": ""Heist"", ""/m/0hj3m_x"": ""Crime Comedy"", ""/m/0hj3n0w"": ""Ensemble Film"", ""/m/016vh2"": ""Caper story"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/01jfsb"": ""Thriller"", ""/m/01z4y"": ""Comedy"", ""/m/02kdv5l"": ""Action""}",163,Ocean's Collection,304
56700,33539859,/m/0g50f_1,Three Steps Above Heaven,2010,,118.0,"{""/m/06nm1"": ""Spanish Language""}","{""/m/06mkj"": ""Spain""}","{""/m/07s9rl0"": ""Drama""}",61979,Three Steps Above Heaven Collection,141649
57116,5817325,/m/0f71fm,Another Midnight Run,1994-02-06,,86.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01z4y"": ""Comedy""}",202620,Midnight Run Collection,633215
57280,1594408,/m/05f64z,Turbo: A Power Rangers Movie,1997,9615840.0,85.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03k9fj"": ""Adventure"", ""/m/04pbhw"": ""Superhero movie"", ""/m/0hj3myq"": ""Children's/Family"", ""/m/0btmb"": ""Superhero"", ""/m/04t2t"": ""Martial Arts Film"", ""/m/0hj3myc"": ""Children's Fantasy"", ""/m/0hqxf"": ""Family Film"", ""/m/02kdv5l"": ""Action""}",6499,Power Rangers Collection,708816
57560,21286292,/m/05fb5js,976-Evil II,1992,,90.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01q03"": ""Cult"", ""/m/03npn"": ""Horror""}",28751,976-EVIL Collection,135501
57621,6536909,/m/0g9dm3,Carry On Dick,1974,,91.0,"{""/m/02h40lc"": ""English Language""}","{""/m/07ssc"": ""United Kingdom""}","{""/m/0gf28"": ""Parody"", ""/m/06nbt"": ""Satire"", ""/m/01z4y"": ""Comedy"", ""/m/09q17"": ""Slapstick""}",26327,Carry On Collection,918027
58012,24936868,/m/09gnqh6,Nemesis 2: Nebula,1995-09-26,,83.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/06n90"": ""Science Fiction"", ""/m/02kdv5l"": ""Action""}",63105,Nemesis Collection,286948
58151,705984,/m/034bxn,Magnum Force,1973-12-25,44680473.0,123.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/0lsxr"": ""Crime Fiction"", ""/m/0cq22f9"": ""Action Thrillers"", ""/m/02n4kr"": ""Mystery"", ""/m/02kdv5l"": ""Action"", ""/m/03btsm8"": ""Action/Adventure""}",10648,Dirty Harry Collection,10456
58758,5652838,/m/0dycv7,Fletch Lives,1989,39450960.0,95.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/01jfsb"": ""Thriller"", ""/m/03k9fj"": ""Adventure"", ""/m/0hj3mzb"": ""Comedy Thriller"", ""/m/01q03"": ""Cult"", ""/m/02n4kr"": ""Mystery"", ""/m/01z4y"": ""Comedy"", ""/m/02kdv5l"": ""Action"", ""/m/0j5nm"": ""Whodunit""}",14628,Fletch Collection,104833
58763,2077098,/m/06kkph,Carry On Abroad,1972,,88.0,"{""/m/02h40lc"": ""English Language""}","{""/m/07ssc"": ""United Kingdom""}","{""/m/0gf28"": ""Parody"", ""/m/03p5xs"": ""Comedy of manners"", ""/m/01z4y"": ""Comedy""}",19252,Carry On Collection,918027
58782,3033155,/m/08lzxj,King Kong Lives,1986-12-19,4711220.0,105.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0g092b"": ""Monster movie"", ""/m/0219x_"": ""Indie"", ""/m/0hj3m_q"": ""Creature Film"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/02kdv5l"": ""Action"", ""/m/03k9fj"": ""Adventure""}",31947,King Kong (1976) Collection,135498
58897,24366494,/m/07s3m4g,Paranormal Activity,2009-10-16,193355800.0,99.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0fdjb"": ""Supernatural"", ""/m/03npn"": ""Horror"", ""/m/0hj3n5l"": ""Haunted House Film"", ""/m/0c3351"": ""Suspense"", ""/m/0219x_"": ""Indie""}",23827,Paranormal Activity Collection,41437
58990,3112333,/m/08s59l,Howling VI: The Freaks,1991,,102.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/07ssc"": ""United Kingdom""}","{""/m/03npn"": ""Horror"", ""/m/0219x_"": ""Indie""}",36421,The Howling Collection,174218
59014,27429073,/m/0gvt8m2,The Human Centipede II,2011-09-22,141877.0,88.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/07ssc"": ""United Kingdom"", ""/m/059j2"": ""Netherlands""}","{""/m/07s9rl0"": ""Drama"", ""/m/03npn"": ""Horror""}",74997,The Human Centipede Collection,96671
59237,20344625,/m/0crsg4n,Tomie: Replay,2000-02-11,,95.0,"{""/m/03_9r"": ""Japanese Language""}","{""/m/03_3d"": ""Japan""}","{""/m/0gw5n2f"": ""Japanese Movies"", ""/m/03npn"": ""Horror"", ""/m/03q4nz"": ""World cinema""}",52409,Tomie Collection,139394
59277,4196336,/m/04j2ycl,Cinderella II: Dreams Come True,2002,,73.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0hj3myq"": ""Children's/Family"", ""/m/0hqxf"": ""Family Film"", ""/m/0bj8m2"": ""Children's"", ""/m/0bxg3"": ""Fairy tale"", ""/m/0hcr"": ""Animation""}",14128,Cinderella Collection,55419
59324,15348996,/m/03m5vcv,The Little Mermaid: Ariel's Beginning,2008,,77.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0hj3n2k"": ""Fantasy Adventure"", ""/m/0hj3myq"": ""Children's/Family"", ""/m/0hcr"": ""Animation"", ""/m/0bj8m2"": ""Children's"", ""/m/01hmnh"": ""Fantasy"", ""/m/04rlf"": ""Music"", ""/m/0hqxf"": ""Family Film""}",13676,The Little Mermaid Collection,33085
59348,4391376,/m/0b_s1v,The Ghost in the Invisible Bikini,1966,,82.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01hmnh"": ""Fantasy"", ""/m/01z4y"": ""Comedy"", ""/m/0hj3n62"": ""Heavenly Comedy"", ""/m/0hj3mw3"": ""Beach Film""}",86343,Beach Party Collection,338327
59374,8808797,/m/027kh7z,The Prince and Me 2: The Royal Wedding,2006,,97.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06cvj"": ""Romantic comedy"", ""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy"", ""/m/068d7h"": ""Romantic drama"", ""/m/02l7c8"": ""Romance Film"", ""/m/02b5_l"": ""Teen""}",15590,The Prince & Me Collection,86334
59393,525314,/m/02lk60,Shrek 2,2004-05-15,919838758.0,93.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03k9fj"": ""Adventure"", ""/m/0hj3myq"": ""Children's/Family"", ""/m/01zhp"": ""Computer Animation"", ""/m/04xvh5"": ""Costume drama"", ""/m/0bxg3"": ""Fairy tale"", ""/m/0hcr"": ""Animation"", ""/m/01hmnh"": ""Fantasy"", ""/m/01z4y"": ""Comedy"", ""/m/0hqxf"": ""Family Film"", ""/m/0hj3n2s"": ""Fantasy Comedy"", ""/m/0hj3myc"": ""Children's Fantasy""}",809,Shrek Collection,2150
59779,25011659,/m/09gj69p,More About the Children of Noisy Village,2011-09-05,,89.0,"{""/m/06mp7"": ""Swedish Language""}","{""/m/0d0vqn"": ""Sweden""}","{""/m/0hqxf"": ""Family Film""}",26111,Children of Bullerby Collection,610785
60202,2707482,/m/07z8yl,Die Supernasen,1983-09-08,,88.0,"{""/m/04306rv"": ""German Language""}","{""/m/082fr"": ""West Germany""}","{""/m/01z4y"": ""Comedy""}",11981,Die Supernasen Filmreihe,430157
60295,3009141,/m/08k8v0,When a Stranger Calls,2006-02-03,66966987.0,87.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/03npn"": ""Horror"", ""/m/09blyk"": ""Psychological thriller"", ""/m/02wtdps"": ""Crime Thriller"", ""/m/01585b"": ""Slasher"", ""/m/02b5_l"": ""Teen""}",45964,When a Stranger Calls Collection,276838
60393,9743496,/m/02pqvw3,Jungle Jim in the Forbidden Land,1952,,65.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/02kdv5l"": ""Action"", ""/m/0hj3n96"": ""Jungle Film"", ""/m/03k9fj"": ""Adventure""}",115824,Jungle Jim Collection,661850
60461,18717177,/m/0dr3sl,Shrek,2001-04-22,484409218.0,92.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/0d060g"": ""Canada""}","{""/m/0gf28"": ""Parody"", ""/m/03k9fj"": ""Adventure"", ""/m/0hj3myq"": ""Children's/Family"", ""/m/01zhp"": ""Computer Animation"", ""/m/04xvh5"": ""Costume drama"", ""/m/0bxg3"": ""Fairy tale"", ""/m/0hcr"": ""Animation"", ""/m/01hmnh"": ""Fantasy"", ""/m/01z4y"": ""Comedy"", ""/m/0hqxf"": ""Family Film"", ""/m/0hj3n2s"": ""Fantasy Comedy"", ""/m/0hj3myc"": ""Children's Fantasy""}",808,Shrek Collection,2150
60917,3648503,/m/02p7lzt,Death Wish 3,1985-11-01,16116878.0,92.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/0cq22f9"": ""Action Thrillers"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/01jfsb"": ""Thriller"", ""/m/02wtdps"": ""Crime Thriller"", ""/m/02kdv5l"": ""Action""}",24873,Death Wish Collection,14377
61424,6980481,/m/0gzr0_,Carnosaur 2,1993,,83.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0cq22z7"": ""Sci-Fi Horror"", ""/m/0qdzd"": ""B-movie"", ""/m/06n90"": ""Science Fiction"", ""/m/03npn"": ""Horror"", ""/m/0hj3m_q"": ""Creature Film""}",65460,Carnosaur Collection,256484
61493,3374673,/m/09895j,"Count Yorga, Vampire",1970,,90.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03npn"": ""Horror""}",28733,Count Yorga Collection,327871
61914,12677727,/m/02x04pr,The Return of Count Yorga,1971,,97.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03npn"": ""Horror"", ""/m/01z4y"": ""Comedy"", ""/m/0hj3n7f"": ""Horror Comedy""}",28855,Count Yorga Collection,327871
61965,91133,/m/0mmbb,The Karate Kid,1984-06-22,90815558.0,127.0,"{""/m/03_9r"": ""Japanese Language"", ""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/03_3d"": ""Japan""}","{""/m/03btsm8"": ""Action/Adventure"", ""/m/0gw5n2f"": ""Japanese Movies"", ""/m/03k9fj"": ""Adventure"", ""/m/02h8pkk"": ""Family Drama"", ""/m/01z02hx"": ""Sports"", ""/m/04t2t"": ""Martial Arts Film"", ""/m/01j1n2"": ""Coming of age"", ""/m/07s9rl0"": ""Drama"", ""/m/0hqxf"": ""Family Film"", ""/m/02kdv5l"": ""Action"", ""/m/02l7c8"": ""Romance Film"", ""/m/02b5_l"": ""Teen""}",1885,The Karate Kid Collection,8580
61974,31879136,/m/0gvvf4j,Piranha 3DD,2012-05-11,8493728.0,83.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/03npn"": ""Horror"", ""/m/01z4y"": ""Comedy""}",71668,Piranha 3D Collection,104830
62252,1713779,/m/05qhp3,Son of Kong,1933-12-22,616000.0,70.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0g092b"": ""Monster movie"", ""/m/06qln"": ""Stop motion"", ""/m/0hj3m_q"": ""Creature Film"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/01z4y"": ""Comedy"", ""/m/02kdv5l"": ""Action""}",43149,King Kong (1933) Collection,135495
62285,1311098,/m/04rxsz,Short Circuit 2,1988-07-06,21630088.0,111.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/06n90"": ""Science Fiction"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/01z4y"": ""Comedy"", ""/m/0hqxf"": ""Family Film"", ""/m/02kdv5l"": ""Action""}",11966,Short Circuit Collection,86347
62562,651538,/m/02_pcj,Dracula,1958,,82.0,"{""/m/02h40lc"": ""English Language""}","{""/m/07ssc"": ""United Kingdom""}","{""/m/01jfsb"": ""Thriller"", ""/m/03npn"": ""Horror""}",138,Dracula (Universal) Collection,221539
62730,5837972,/m/0f88ld,Hellboy: Sword of Storms,2006-02-06,,77.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/03npn"": ""Horror"", ""/m/04pbhw"": ""Superhero movie"", ""/m/0hj3m_q"": ""Creature Film"", ""/m/0btmb"": ""Superhero"", ""/m/0hcr"": ""Animation"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/0jxy"": ""Anime"", ""/m/01hmnh"": ""Fantasy"", ""/m/02kdv5l"": ""Action""}",16774,Hellboy (Animated) Collection,123203
63174,3815462,/m/0b1dkj,The Creature Walks Among Us,1956,,78.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/06n90"": ""Science Fiction"", ""/m/03npn"": ""Horror"", ""/m/0hj3m_q"": ""Creature Film"", ""/m/01g6gs"": ""Black-and-white""}",39408,Creature From The Black Lagoon Collection,221537
63183,17901688,/m/01sbv9,Madagascar,2005-05-25,532680671.0,83.0,"{""/m/064_8sq"": ""French Language"", ""/m/04306rv"": ""German Language"", ""/m/05zjd"": ""Portuguese Language"", ""/m/02h40lc"": ""English Language"", ""/m/06nm1"": ""Spanish Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03k9fj"": ""Adventure"", ""/m/01zhp"": ""Computer Animation"", ""/m/0hcr"": ""Animation"", ""/m/0bj8m2"": ""Children's"", ""/m/01hmnh"": ""Fantasy"", ""/m/01z4y"": ""Comedy"", ""/m/0hqxf"": ""Family Film""}",953,Madagascar Collection,14740
63209,24630747,/m/064k1wb,Predators,2010-07-07,127234389.0,106.0,"{""/m/06b_j"": ""Russian Language"", ""/m/02h40lc"": ""English Language"", ""/m/06nm1"": ""Spanish Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/06n90"": ""Science Fiction"", ""/m/02kdv5l"": ""Action"", ""/m/03npn"": ""Horror"", ""/m/03k9fj"": ""Adventure""}",34851,Predator Collection,399
63231,7677968,/m/0kvf26,976-EVIL,1988-12-09,2955917.0,105.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03npn"": ""Horror"", ""/m/01585b"": ""Slasher"", ""/m/02b5_l"": ""Teen""}",24038,976-EVIL Collection,135501
63394,1256990,/m/04mqwg,Candyman,1992-09-11,25792310.0,93.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/03npn"": ""Horror"", ""/m/0fdjb"": ""Supernatural"", ""/m/09blyk"": ""Psychological thriller"", ""/m/01q03"": ""Cult"", ""/m/060__y"": ""Film adaptation"", ""/m/01585b"": ""Slasher""}",9529,Candyman Collection,98580
63394,1256990,/m/04mqwg,Candyman,1992-09-11,25792310.0,93.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/03npn"": ""Horror"", ""/m/0fdjb"": ""Supernatural"", ""/m/09blyk"": ""Psychological thriller"", ""/m/01q03"": ""Cult"", ""/m/060__y"": ""Film adaptation"", ""/m/01585b"": ""Slasher""}",565028,Candyman Collection,98580
63415,2283532,/m/070sl4,Basket Case,1982-04,,89.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0g092b"": ""Monster movie"", ""/m/0qdzd"": ""B-movie"", ""/m/01q03"": ""Cult"", ""/m/01z4y"": ""Comedy"", ""/m/02vn3k"": ""Splatter film"", ""/m/03npn"": ""Horror"", ""/m/01585b"": ""Slasher"", ""/m/0hj3n7f"": ""Horror Comedy""}",27813,Basket Case Trilogy,104716
63763,36814246,/m/027jhb,Eraserhead,1977-03-19,7000000.0,109.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06n90"": ""Science Fiction"", ""/m/03npn"": ""Horror"", ""/m/0219x_"": ""Indie"", ""/m/0424mc"": ""Experimental film"", ""/m/073_6"": ""Surrealism"", ""/m/01g6gs"": ""Black-and-white"", ""/m/01q03"": ""Cult"", ""/m/07s9rl0"": ""Drama"", ""/m/01hmnh"": ""Fantasy"", ""/m/0k345"": ""Avant-garde""}",476339,Daydream Obsession Collection,579847
63889,29609480,/m/0fpgp26,Ice Age: Continental Drift,2012-07-13,867291788.0,88.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03k9fj"": ""Adventure"", ""/m/0hqxf"": ""Family Film"", ""/m/01z4y"": ""Comedy"", ""/m/0hcr"": ""Animation""}",57800,Ice Age Collection,8354
63990,3069564,/m/08pbld,Joy Ride,2001-10-05,36642838.0,97.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/02wtdps"": ""Crime Thriller"", ""/m/03npn"": ""Horror"", ""/m/09blyk"": ""Psychological thriller"", ""/m/0c3351"": ""Suspense""}",10866,Joy Ride Collection,166378
63990,3069564,/m/08pbld,Joy Ride,2001-10-05,36642838.0,97.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/02wtdps"": ""Crime Thriller"", ""/m/03npn"": ""Horror"", ""/m/09blyk"": ""Psychological thriller"", ""/m/0c3351"": ""Suspense""}",259074,Joy Ride Collection,166378
64106,4498928,/m/0c5nv_,Basket Case 3: The Progeny,1992,,90.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0g092b"": ""Monster movie"", ""/m/0qdzd"": ""B-movie"", ""/m/01q03"": ""Cult"", ""/m/01z4y"": ""Comedy"", ""/m/03npn"": ""Horror"", ""/m/01585b"": ""Slasher"", ""/m/0hj3n7f"": ""Horror Comedy""}",27816,Basket Case Trilogy,104716
64266,32665218,/m/0h52jtp,Tomie Unlimited,2011-05-14,,85.0,"{""/m/03_9r"": ""Japanese Language""}","{""/m/03_3d"": ""Japan""}","{""/m/0gw5n2f"": ""Japanese Movies"", ""/m/03npn"": ""Horror""}",85349,Tomie Collection,139394
64357,24937369,/m/09gfsjn,Nemesis 3: Prey Harder,1996-02-06,,85.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/02kdv5l"": ""Action""}",107096,Nemesis Collection,286948
64809,8012754,/m/026nj72,Xtro II: The Second Encounter,1990,,92.0,"{""/m/02h40lc"": ""English Language""}","{""/m/0d060g"": ""Canada""}","{""/m/06n90"": ""Science Fiction"", ""/m/03npn"": ""Horror""}",55952,Xtro Collection,114915
65162,5817147,/m/0f713v,Midnight Runaround,1994-03-04,,86.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/02kdv5l"": ""Action"", ""/m/01z4y"": ""Comedy"", ""/m/03k9fj"": ""Adventure""}",529000,Midnight Run Collection,633215
